security_id,underlying_symbol_raw,effective_from,effective_to,lot_size,source_as_of_date,source_contract_file,source_sha256,evidence_status
SEC_bf58951b27b989bc,CIPLA,2024-10-31,2025-06-25,325,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bf58951b27b989bc,CIPLA,2025-04-24,2026-06-29,375,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bf58951b27b989bc,CIPLA,2026-04-28,2026-08-12,425,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bf58951b27b989bc,CIPLA,2024-07-01,2024-10-30,650,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bfd6d43b3958f358,COFORGE,2024-10-31,2025-06-02,75,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bfd6d43b3958f358,COFORGE,2024-07-01,2024-10-30,150,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bfd6d43b3958f358,COFORGE,2025-06-03,2026-06-29,375,2025-06-03,NSE_FO_contract_03062025.csv.gz,9af8f664640f4f9615bf7068ee70ab512c54bbc01d137a10bc0427888a4b62fb,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bfd6d43b3958f358,COFORGE,2026-04-28,2026-08-12,475,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_bff2f63c2d4f525f,SAMMAANCAP,2025-08-28,2026-06-29,4300,2025-08-28,NSE_FO_contract_28082025.csv.gz,dadcfe830a0928e2b52e8c376a177329ef26468151517059c4cf063d7543e8fa,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c077dfc90505d70d,TITAN,2024-07-01,2026-08-12,175,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c2a412d23da53094,GODFRYPHLP,2026-03-30,2026-08-12,275,2026-03-30,NSE_FO_contract_30032026.csv.gz,6d1c57fb6c5187998aa02ba99ef42286d9f340477fbfd2da4125fcdb0a8a068a,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c37149db45d16306,IGL,2024-07-01,2025-01-29,1375,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c37149db45d16306,IGL,2025-01-30,2025-11-24,2750,2025-01-30,NSE_FO_contract_30012025.csv.gz,f22a4408b94abf6cc9710c1126a7467d8f1669f25249b52679e4e30ba24fdea6,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c47d397e61e6e407,DEEPAKNTR,2024-07-01,2025-05-28,300,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c49320671ad73b05,CUMMINSIND,2024-10-31,2025-06-25,150,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_c49320671ad73b05,CUMMINSIND,2025-04-24,2026-08-12,200,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
